author,title,description,url,urlToImage,publishedAt,content,id,name,search_date
,[Removed],[Removed],https://removed.com,,2024-10-17T19:35:08Z,[Removed],,[Removed],2024-10-20 14:44:15.540950
Todd Feathers,FBI Arrests Man Who Searched ‘How Can I Know for Sure If I Am Being Investigated by the FBI’,Eric Counsel Jr. is accused of helping to hack the U.S. Securities and Exchange Commission's X account in order to post false information about Bitcoin.,https://gizmodo.com/fbi-arrests-man-who-searched-how-can-i-know-for-sure-if-i-am-being-investigated-by-the-fbi-2000513216,https://gizmodo.com/app/uploads/2024/10/sec-bitcoin-hack-arrest.jpg,2024-10-17T21:10:49Z,The FBI has arrested an Alabama man who allegedly hacked the U.S. Securities and Exchange Commission’s X (formerly Twitter) account in order to post erroneous information about Bitcoin that briefly d… [+2369 chars],,Gizmodo.com,2024-10-20 14:44:15.540950
Lucas Ropek,Guy Who Threw Away $500 Million Bitcoin Hard Drive Sues Local Government to Search Dump,What do you do when you've thrown half a billion dollars worth of crypto in the trash?,https://gizmodo.com/guy-who-threw-away-500-million-bitcoin-hard-drive-sues-local-government-to-search-dump-2000512846,https://gizmodo.com/app/uploads/2024/10/A-landfill-in-Newport-Wales.jpg,2024-10-17T12:35:08Z,"For the past decade, a Welsh man has been begging his city government for permission to peruse the contents of the local dump. 39-year-old Newport resident James Howells has been desperately asking t… [+3029 chars]",,Gizmodo.com,2024-10-20 14:44:15.540950
"abharade@insider.com (Aditi Bharade,Kwan Wei Kevin Tan)","Trump flip-flopped on crypto, but his PAC has raked in millions of dollars of crypto donations since June",The former president has positioned himself as the pro-crypto candidate this election cycle. But he hasn't always had nice things to say about crypto.,https://www.businessinsider.com/trump-pac-raised-millions-crypto-donations-since-june-2024-10,https://i.insider.com/670f5459a70318649282ad0f?width=1200&format=jpeg,2024-10-16T09:44:31Z,"A political action committee called Trump 47 has raised $7.5 million in cryptocurrency donations for former President Donald Trump's White House bid.
According to Federal Election Commission filings… [+3227 chars]",business-insider,Business Insider,2024-10-20 14:44:15.540950
msmash,Hacker Arrested For the Fake SEC Tweet That Caused a Bitcoin Price Spike,The FBI has arrested an Alabama man who is accused of hacking the Securities and Exchange Commission's X account in January. From a report: The indictment alleges that 25-year-old Eric Council Jr. worked with co-conspirators to take control of the account and…,https://news.slashdot.org/story/24/10/17/2044230/hacker-arrested-for-the-fake-sec-tweet-that-caused-a-bitcoin-price-spike,https://a.fsdn.com/sd/topics/news_64.png,2024-10-17T22:10:00Z,The indictment alleges that 25-year-old Eric Council Jr. worked with co-conspirators to take control of the account and post a fake message from SEC Chair Gary Gensler about Bitcoin ETFs that caused … [+534 chars],,Slashdot.org,2024-10-20 14:44:15.540950
Dan DeFrancesco,An incoming 'M&A supercycle' wouldn't just be a win for dealmakers,"Goldman Sachs' earnings hint at the revival of the M&A market, which could help companies big and small.",https://www.businessinsider.com/goldman-sachs-earnings-dealmaking-benefit-economy-2024-10,https://i.insider.com/670fa446a70318649282b2f4?width=1000&format=jpeg,2024-10-16T11:33:31Z,"Illustration by Budrul Chukrut/SOPA Images/LightRocket via Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily ne… [+7079 chars]",business-insider,Business Insider,2024-10-20 14:44:15.540950
Dan DeFrancesco,Taylor Swift is flexing her economic muscles again with the return of her tour and a new book,Taylor Swift's upcoming self-published challenges business norm. But her tour's return raises concerns about mega-events' impact on economic recovery.,https://www.businessinsider.com/taylor-swift-self-publishing-eras-tour-book-disrupting-industry-again-2024-10,https://i.insider.com/67123d4ea0a0cc14f221eeb9?width=1200&format=jpeg,2024-10-18T13:04:14Z,"Taylor Swift performing on stage at Wembley Stadium for the London leg of ""The Eras Tour.""Kate Green/Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.how</li><li>Yo… [+7453 chars]",business-insider,Business Insider,2024-10-20 14:44:15.540950
Lindsay Lee Wallace,Fanatical: The Catfishing of Tegan and Sara Is a Timely Study of Stan and Scam Culture,'Fanatical' documents a catfishing scam that haunted Tegan and Sara for more than a decade.,https://time.com/7094523/tegan-and-sara-catfishing-documentary/,https://api.time.com/wp-content/uploads/2024/10/173863_0003_tegan-and-sarah.jpg?quality=85&w=1200&h=628&crop=1,2024-10-18T18:42:34Z,"In the mid-2000s, fans of the queer indie-pop band Tegan and Sara began receiving messages and emails from Tegan Quin, one half of the twin-sister duo. 
While most people today would immediately dis… [+10284 chars]",time,Time,2024-10-20 14:44:15.540950
Javier Marquez,El británico que perdió millones en bitcoins al tirar su disco duro no se da por vencido: ahora ha demandado al ayuntamiento,"James Howells, un ingeniero informático que vive en la ciudad de Newport, Gales, lleva años asegurando que en 2013 tiró a la basura un disco duro con alrededor de 8.000 bitcoins, los cuales había conseguido minar en su casa poco después de que la criptomoneda…",https://www.xataka.com/criptomonedas/britanico-que-perdio-millones-bitcoins-al-tirar-su-disco-duro-no-se-da-vencido-ahora-ha-demandado-al-ayuntamiento,https://i.blogs.es/29b07c/vertedero-bitcoin-portada/840_560.jpeg,2024-10-15T22:33:00Z,"James Howells, un ingeniero informático que vive en la ciudad de Newport, Gales, lleva años asegurando que en 2013 tiró a la basura un disco duro con alrededor de 8.000 bitcoins, los cuales había con… [+3141 chars]",,Xataka.com,2024-10-20 14:44:15.540950
Susan B. Glasser,How Republican Billionaires Learned to Love Trump Again,"The former President has successfully won over wealthy figures including Elon Musk, Nelson Peltz, Steve Wynn, Miriam Adelson, José (Pepe) Fanjul, Stephen Schwarzman, Timothy Mellon, and David Sacks. Susan Glasser reports.",https://www.newyorker.com/magazine/2024/10/28/how-republican-billionaires-learned-to-love-trump-again,"https://media.newyorker.com/photos/670edd65cc86526c297a48b0/16:9/w_1280,c_limit/r45135.jpg",2024-10-18T10:00:00Z,"The reason is structural: Democrats have retained an advantage in small online donations, while Republicans rely on a higher percentage of large contributions. As of late September, sixty-eight per c… [+11787 chars]",,The New Yorker,2024-10-20 14:44:15.540950
